ibn	אבן
abrams	אברהמס
aguilar	אגילר
ed	אד
edgar	אדגר
edward	אדוארד
edwy	אדווי
edvard	אדוורד
edmond	אדמונד
edred	אדרד
evans	אוונס
otmar	אוטמר
oliver	אוליבר
olaf	אולף
olrik	אולריק
humberto	אומברטו
ostwald	אוסטוולד
ousmane	אוסמנה
azali	אזאלי
ahdab	אחדב
ahimaaz	אחימעץ
ahmed	אחמד
ilya	איליה
ilan	אילן
indira	אינדירה
iser	איסר
aishwarya	אישווריה
alexey	אלכסיי
allan	אלן
alfred	אלפרד
alter	אלתר
amadou	אמדו
empson	אמפסון
angela	אנג'לה
andre	אנדרה
andrew	אנדרו
andrei	אנדריי
andrian	אנדרייאן
anna	אנה
anjos	אנז'וס
anno	אננו
anthony	אנתוני
estee	אסתי
afghani	אפגאני
appian	אפיאנוס
africa	אפריקה
axel	אקסל
artaud	ארטו
artur	ארטור
erving	ארטור
eric	אריק
arnold	ארנולד
ernest	ארנסט
ethelbert	אתלברט
alfweard	אתלווארד
ethelred	אתלרד
bharrat	בהרט
burros	בורוס
bush	בוש
baptiste	בטיסט
biot	ביו
baker	בייקר
bill	ביל
bingu	בינגו
bingu	בינגו
binet	בינה
bakr	בכר
bella	בלה
balfour	בלפור
banna	בנא
bassan	בסן
ber	בער
beck	בק
barbu	ברבו
brook	ברוק
burton	ברטון
barry	ברי
brian	בריאן
bering	ברינג
jagdeo	ג'גדאו
guelleh	ג'וילה
jane	ג'יין
jimmy	ג'ימי
jalal	ג'לאל
jamal	ג'מאל
janis	ג'ניס
jeremiah	ג'רמיה
gheorghe	גאורגה
gheorghiu	גאורגי
gheorghiu	גאורגיו
gaidar	גאידר
gobineau	גובינו
gumbel	גומבל
gustav	גוסטב
goffman	גופמן
grzegorz	גז'גוז'
giddens	גידנס
geiger	גייגר
gein	גין
ghica	גיקה
galland	גלן
grigori	גריגורי
grey	גריי
greenberg	גרינברג
dunst	דאנסט
dario	דאריו
dov	דב
douglas	דגלאס
de	דה
doherty	דוהארטי
dutra	דוטרה
david	דויד
dumezil	דומזיל
di	די
davy	דייווי
dean	דין
din	דין
dickinson	דיקינסון
dan	דן
dennett	דנט
dafoe	דפו
hoover	הובר
hoffman	הופמן
huffman	הופמן
hopper	הופר
heinz	היינץ
hipparchia	היפרכיה
helen	הלן
henry	הנרי
hasler	הסלר
hefner	הפנר
vaira	ואירה
van	ואן
vasa	ואסה
webber	ובר
wa	וה
watts	וואטס
wood	ווד
walter	וולטר
wolfgang	וולפגנג
wolfensohn	וולפנזון
weimar	ויימאר
willard	וילארד
williamson	ויליאמסון
willis	ויליס
vicente	ויסנטה
vike	ויקה
victor	ויקטור
vladimir	ולדימיר
wellington	ולינגטון
vasile	וסילי
wetzler	וצלר
jacques	ז'אק
jozef	ז'וזף
georges	ז'ורז'
zatlers	זאטלרס
hamza	חמזה
tarja	טאריה
toland	טולנד
tomislav	טומיסלב
toumani	טומני
turunen	טורונן
torricelli	טוריצ'לי
turashvili	טורשווילי
taylor	טיילור
talabani	טלאבאני
takata	טקאטה
trump	טראמפ
terry	טרי
tarlev	טרלב
jan	יאן
yang	יאנג
jaana	יאנה
yegor	יגור
yedidia	ידידיה
yehudah	יהודה
hugh	יו
huey	יואי
johann	יוהן
yuri	יורי
christoph	כריסטוף
carmen	כרמן
lauder	לאודר
leonardo	לאונרדו
le	לה
leBlanc	לה-בלאנק
lukas	לוקאס
leib	ליב
liwei	ליוויי
lyon	ליון
maiga	מאיגה
munch	מונק
mulroney	מלרוני
mezeritch	ממזריטש
memmi	ממי
manolis	מנוליס
mechnikov	מצ'ניקוב
mcKinley	מקינלי
marie	מרי
markowitz	מרקוביץ'
mashiach	משיח
neher	נהר
nowak	נובאק
nikolayev	ניקולאייב
nikolich	ניקוליץ'
sali	סאלי
saroyan	סארויאן
sarsgaard	סארסגארד
sutherland	סאתרלנד
stewart	סטיוארט
stroop	סטרופ
samuel	סמואל
smith	סמית'
scopes	סקופס
emmanuel	עמנואל
potanin	פוטנין
pajitnov	פז'יטנוב
patricia	פטרישיה
finkielkraut	פינקלקראוט
pinkerton	פינקרטון
planes	פלאנס
fallaci	פלאצ'י
paltiel	פלטיאל
pallenberg	פלנברג
pelse	פלשה
peppard	פפארד
friedrich	פרדריך
crvenkovski	צרבנקובסקי
cassini	קאסיני
kapp	קאפ
culkin	קולקין
cousteau	קוסטו
cooper	קופר
kingissepp	קינגיספ
kirby	קירבי
carnegie	קרנגי
rau	ראו
robbins	רובינס
rushd	רושד
reagan	רייגן
rayleigh	ריילי
raymond	ריימונד
rinat	רינת
rontgen	רנטגן
shatner	שאטנר
schwarzenegger	שוורצנגר
strasser	שטרסר
shepard	שפארד
shklovsky	שקלובסקי
tammuz	תמוז
