afroman	אפרומן
aybak	אייבכ
litovoi	ליטובוי
sirusho	סירושו
jushur	נגושור
belinus	בלינוס
boethius	בואתיוס
nadar	נדאר
curnonsky	קורננסקי
caligula	קליגולה
kutiman	קותימן
careca	קארקה
pindar	פינדארוס
bourvil	בורביל
idir	אידיר
morrissey	מוריסי
arminius	ארמיניוס
vasubandhu	וסובנדהו
raekwon	רייקון
washoe	וואשו
gangulphus	גנגולפוס
pytheas	פיתאס
belisarius	בליזריוס
nerva	נרווה
brennius	ברניוס
caesarion	קיסריון
plutarch	פלוטארכוס
confucius	קונפוציוס
necro	נקרו
mentewab	מאנטאוואב
notburga	נוטבורגה
posidonius	פוסידוניוס
lucretius	לוקרטיוס
daklon	דקלון
ahab	אחאב
fernandel	פרננדל
karandash	קרנדאש
hydatius	הידטיוס
guti	גוטי
livilla	ליווילה
masinissa	מסיניסה
dunga	דונגה
ovid	אובידיוס
crixus	קריקסוס
dymphna	דימפנה
ardaric	ארדאריק
xzibit	אקזיביט
peisistratos	פייסיסטראטוס
totila	טוטילה
riphath	ריפת
sabicas	סאביקאס
cazwell	קאזוול
ishtar	אישתאר
philistus	פיליסטוס
theudas	תוידאס
wojtek	וויטק
theudebald	תיאודבלד
horemheb	חרמחב
mazdak	מזדק
lemar	למר
spartacus	ספרטקוס
khafra	חאפרו
coolio	קוליו
eber	עבר
terah	תרח
formiga	פורמיגה
glaphyra	גלפירה
twiggy	טוויגי
sabagadis	סבגדיס
ludger	לודגר
decius	דקיוס
alulim	אלולים
hammurabi	חמורבי
fergie	פרגי
qutuz	קוטוז
clitomachus	קליטומאכוס
ammuna	אמונש
radegund	רדגונדיס
xanthippe	קסנתיפה
xenocles	קסנוקלס
cassiodorus	קסיודורוס
herblock	הרבלוק
sennacherib	סנחריב
alboin	אלבוין
gummarus	גומרוס
brahmagupta	בראהמגופטה
xenophanes	קסנופנס
nabopolassar	נבופלאסר
oenomaus	אוינומאוס
epicurus	אפיקורוס
suetonius	סווטוניוס
welliton	וליטון
plato	אפלטון
pérotin	פרוטין
ctesias	קטסיאס
archimedes	ארכימדס
pitigrilli	פיטיגרילי
eusébio	אוסביו
numerian	נומריאנוס
leucippus	לוקיפוס
pocahontas	פוקהונטס
boiorix	בוירכאוס
polyperchon	פוליפרכון
gallienus	גליאנוס
stelarc	סטלארק
zito	זיטו
chamillionaire	קמיליונר
migueli	מיגלי
columbanus	קולומבנוס
agag	אגג
coccinelle	קוקסינל
xenophon	קסנופון
moby	מובי
sejanus	סיאנוס
september	ספטמבר
basshunter	בסהאנטר
edmílson	אדמילסון
brassaï	בראסאי
costinha	קושטיניה
parmenion	פרמניון
