chris	克里斯
nick	尼克
harris	哈里斯
simon	西蒙
ian	伊恩
brown	布朗
jim	吉姆
kenny	肯尼
luigi	路易吉
evans	埃文斯
andy	安迪
juan	胡安
peter	彼得
smith	史密斯
ernst	恩斯特
hugh	休
gustavo	古斯塔沃
giuseppe	朱塞佩
dave	戴夫
ken	肯
anderson	安德森
ray	雷
patrick	帕特里克
lee	李
simpson	辛普森
billy	比利
friedrich	弗里德里希
gibson	吉布森
ted	泰德
carter	卡特
ford	福特
wood	伍德
edgar	埃德加
francesco	弗朗切斯科
heinz	海因茨
james	詹姆斯
mario	马里奥
harrison	哈里森
jens	延斯
claudio	克劳迪奥
benjamin	本杰明
dan	丹
morgan	摩根
jacques	雅克
heinrich	海因里希
jimmy	吉米
de	德
miller	米勒
abdullah	阿卜杜拉
yves	伊夫
abbas	阿巴斯
cox	考克斯
ramos	拉莫斯
drew	德鲁
sullivan	沙利文
williamson	威廉森
moussa	穆萨
butler	巴特勒
kirk	柯克
klein	克莱因
hayden	海登
craig	克雷格
banks	班克斯
hughes	休斯
larry	拉里
danny	丹尼
eugene	尤金
carlos	卡洛斯
anna	安娜
luca	卢卡
ali	阿里
sidney	西德尼
timothy	蒂莫西
natasha	娜塔莎
dwight	德怀特
albrecht	阿尔布雷希特
willis	威利斯
stan	斯坦
stefan	斯特凡
barbara	芭芭拉
irina	伊琳娜
brett	布雷特
clara	克拉拉
clinton	克林顿
chamberlain	张伯伦
dietrich	迪特里希
damon	戴蒙
samir	萨米尔
federico	费德里科
václav	瓦茨拉夫
gandhi	甘地
pedro	佩德罗
anton	安东
douglas	道格拉斯
perry	佩里
gray	格雷
gabriel	加布里埃尔
todd	托德
jan	扬
warren	沃伦
hart	哈特
lucy	露西
christian	克里斯蒂安
françois	弗朗索瓦
fox	福克斯
ward	沃德
vicente	比森特
mikhail	米哈伊尔
hopkins	霍普金斯
flores	弗洛雷斯
cruz	克鲁斯
day	戴
lincoln	林肯
eugène	欧仁
pérez	佩雷斯
chapman	查普曼
francisco	弗朗西斯科
hicks	希克斯
rupert	鲁伯特
barnes	巴恩斯
mcmahon	麥馬漢
coleman	科尔曼
rossi	罗西
enrico	恩里科
chuck	查克
clyde	克莱德
evan	埃文
wallace	华莱士
blair	布莱尔
chad	查德
moreno	莫雷诺
lambert	兰伯特
augusto	奥古斯托
rachel	瑞秋
schumacher	舒马赫
charlotte	夏洛特
bailey	贝利
page	佩奇
moritz	莫里茨
snow	斯诺
sparks	斯帕克斯
donald	唐纳德
clifford	克利福德
ivo	伊沃
freeman	弗里曼
diana	戴安娜
gordon	戈登
hall	霍尔
edwin	埃德温
augustin	奥古斯丁
walker	沃克
erich	埃里希
hussein	侯赛因
leonardo	莱昂纳多
mauro	毛罗
van	范
karel	卡雷尔
pavel	帕维尔
ann	安
bertrand	贝特朗
ronald	罗纳德
pierre	皮埃尔
zoran	佐兰
joachim	约阿希姆
milan	米兰
winston	温斯顿
johnson	约翰逊
ismail	伊斯梅尔
bradley	布拉德利
reed	里德
schmidt	施密特
jean	让
hamilton	汉密尔顿
étienne	艾蒂安
hendrik	亨德里克
lev	列夫
strauss	施特劳斯
herbert	赫伯特
sánchez	桑切斯
marcos	马科斯
pinto	平托
fuller	富勒
glenn	格伦
armstrong	阿姆斯特朗
sandra	桑德拉
vanessa	凡妮莎
fred	弗雷德
hearst	赫斯特
saul	索尔
lópez	洛佩斯
ilya	伊利亚
irene	艾琳
massimo	马西莫
swift	斯威夫特
pasha	帕夏
milton	米尔顿
chase	蔡斯
julian	朱利安
miranda	米蘭達
laurent	洛朗
bruno	布鲁诺
ferreira	費利拿
ben	本
barry	巴里
howard	霍华德
adams	亚当斯
fritz	弗里茨
jerzy	耶日
sheikh	谢赫
desmond	德斯蒙德
györgy	捷尔吉
walton	沃尔顿
kyle	凯尔
quinn	奎因
tyson	泰森
manny	曼尼
sepp	塞普
władysław	瓦迪斯瓦夫
diane	黛安
akbar	阿克巴尔
giacomo	贾科莫
