unplugged	原音重现
slowness	慢
immortality	不朽
girlfriend	女朋友
hawkman	鹰侠
echo	回声
ignorance	无知
dance	舞
nick	尼克
chris	克里斯
harris	哈里斯
jim	吉姆
kenny	肯尼
evans	埃文斯
simon	西蒙
luigi	路易吉
andy	安迪
peter	彼得
smith	史密斯
juan	胡安
brown	布朗
ernst	恩斯特
hugh	休
ian	伊恩
giuseppe	朱塞佩
gustavo	古斯塔沃
ray	雷
anderson	安德森
dave	戴夫
ken	肯
symphony	交响曲
patrick	帕特里克
lee	李
billy	比利
ford	福特
gibson	吉布森
carter	卡特
ted	泰德
simpson	辛普森
heinz	海因茨
francesco	弗朗切斯科
mario	马里奥
james	詹姆斯
friedrich	弗里德里希
claudio	克劳迪奥
kirk	柯克
jens	延斯
harrison	哈里森
dan	丹
benjamin	本杰明
de	德
morgan	摩根
jacques	雅克
heinrich	海因里希
jimmy	吉米
cox	考克斯
abbas	阿巴斯
edgar	埃德加
craig	克雷格
ramos	拉莫斯
hayden	海登
moussa	穆萨
williamson	威廉森
banks	班克斯
klein	克莱因
drew	德鲁
abdullah	阿卜杜拉
hughes	休斯
larry	拉里
eugene	尤金
luca	卢卡
danny	丹尼
carlos	卡洛斯
stan	斯坦
perry	佩里
willis	威利斯
natasha	娜塔莎
timothy	蒂莫西
albrecht	阿尔布雷希特
sidney	西德尼
barbara	芭芭拉
stefan	斯特凡
kyle	凯尔
václav	瓦茨拉夫
freeman	弗里曼
dietrich	迪特里希
clara	克拉拉
federico	费德里科
damon	戴蒙
samir	萨米尔
irina	伊琳娜
brett	布雷特
butler	巴特勒
rachel	瑞秋
pedro	佩德罗
anton	安东
sullivan	沙利文
douglas	道格拉斯
miller	米勒
anna	安娜
lucy	露西
gabriel	加布里埃尔
todd	托德
jan	扬
vicente	比森特
hart	哈特
warren	沃伦
christian	克里斯蒂安
hall	霍尔
françois	弗朗索瓦
fox	福克斯
ward	沃德
gordon	戈登
mikhail	米哈伊尔
ali	阿里
flores	弗洛雷斯
marduk	马尔杜克
day	戴
cruz	克鲁斯
irene	艾琳
dwight	德怀特
lincoln	林肯
eugène	欧仁
edwin	埃德温
pérez	佩雷斯
francisco	弗朗西斯科
donald	唐纳德
snow	斯诺
coleman	科尔曼
mcmahon	麥馬漢
moritz	莫里茨
kate	凱特
rupert	鲁伯特
charlotte	夏洛特
hicks	希克斯
desmond	德斯蒙德
schumacher	舒马赫
lambert	兰伯特
moreno	莫雷诺
diana	戴安娜
evan	埃文
clifford	克利福德
rossi	罗西
wallace	华莱士
chuck	查克
blair	布莱尔
zdeněk	兹德涅克
chamberlain	张伯伦
bailey	贝利
barnes	巴恩斯
chad	查德
miranda	米蘭達
ivo	伊沃
sparks	斯帕克斯
clyde	克莱德
johnson	约翰逊
ronald	罗纳德
van	范
walker	沃克
augustin	奥古斯丁
wood	伍德
erich	埃里希
hussein	侯赛因
leonardo	莱昂纳多
mauro	毛罗
karel	卡雷尔
pavel	帕维尔
bertrand	贝特朗
ann	安
jean	让
pierre	皮埃尔
milton	米尔顿
bradley	布拉德利
milan	米兰
zoran	佐兰
leonard	伦纳德
joachim	约阿希姆
ismail	伊斯梅尔
schmidt	施密特
gray	格雷
sánchez	桑切斯
hamilton	汉密尔顿
hendrik	亨德里克
herbert	赫伯特
étienne	艾蒂安
kahn	卡恩
marcos	马科斯
glenn	格伦
augusto	奥古斯托
winston	温斯顿
fuller	富勒
pinto	平托
fred	弗雷德
armstrong	阿姆斯特朗
steve	史蒂夫
adams	亚当斯
howard	霍华德
sandra	桑德拉
ilya	伊利亚
massimo	马西莫
chase	蔡斯
vanessa	凡妮莎
ralph	拉尔夫
yves	伊夫
saul	索尔
pasha	帕夏
lópez	洛佩斯
hearst	赫斯特
julian	朱利安
bennett	贝内特
fritz	弗里茨
laurent	洛朗
bruno	布鲁诺
dick	迪克
ferreira	費利拿
elizabeth	伊丽莎白
barry	巴里
marin	馬林
władysław	瓦迪斯瓦夫
vince	文斯
rush	拉什
sepp	塞普
manny	曼尼
sheldon	谢尔顿
hal	哈尔
reggie	雷吉
adnan	阿德南
tucker	塔克
sterling	斯特林
jerzy	耶日
abu	阿布
györgy	捷尔吉
giacomo	贾科莫
renato	雷纳托
ivica	伊维卡
kazimierz	卡齐米日
diane	黛安
akbar	阿克巴尔
hahn	哈恩
sheikh	谢赫
sloan	斯隆
kapoor	卡浦爾
bradford	布拉德福德
lynch	林奇
quinn	奎因
joyce	乔伊斯
raoul	拉乌尔
zoltán	佐尔坦
dirk	德克
gaston	加斯东
kuhn	库恩
eva	伊娃
thatcher	撒切尔
mika	米卡
charlton	查尔顿
frisch	弗里施
enzo	恩佐
carson	卡森
peters	彼得斯
darwin	達爾文
jacobson	雅各布森
mann	曼
axel	阿克塞尔
hossein	侯賽因
mason	梅森
ptolemy	托勒密
casimir	卡西米尔
jiří	伊日
mackenzie	麦肯齐
willard	威拉德
palmer	帕尔默
huxley	赫胥黎
lauren	劳伦
marlon	馬龍
núñez	努涅斯
tyson	泰森
baldwin	鲍德温
deborah	黛博拉
haas	哈斯
troy	特洛伊
walton	沃尔顿
robbie	罗比
wade	韋德
ruiz	鲁伊斯
gibb	吉布
florian	弗洛里安
parsons	帕森斯
samuel	塞缪尔
edmund	埃德蒙
enrico	恩里科
strauss	施特劳斯
joseph	约瑟夫
ben	本
abdul	阿卜杜勒
william	威廉
campbell	坎贝尔
rick	里克
ernest	欧内斯特
carlo	卡洛
chapman	查普曼
joão	若昂
taylor	泰勒
hopkins	霍普金斯
alfredo	阿尔弗雷多
curtis	柯蒂斯
werner	维尔纳
lev	列夫
le	勒
thomas	托马斯
andrés	安德烈斯
amy	艾米
alfred	阿尔弗雷德
grégory	格雷戈里
theodore	西奥多
boris	鲍里斯
georg	格奥尔格
nicole	妮可
parker	帕克
gilbert	吉尔伯特
manuel	曼努埃尔
richard	理查德
chester	切斯特
bonaparte	波拿巴
