girlfriend	女朋友
slowness	慢
echo	回声
ignorance	无知
dance	舞
immortality	不朽
hawkman	鹰侠
unplugged	原音重现
nick	尼克
chris	克里斯
harris	哈里斯
jim	吉姆
kenny	肯尼
evans	埃文斯
simon	西蒙
luigi	路易吉
andy	安迪
peter	彼得
smith	史密斯
juan	胡安
brown	布朗
ernst	恩斯特
hugh	休
ian	伊恩
gustavo	古斯塔沃
giuseppe	朱塞佩
ray	雷
anderson	安德森
dave	戴夫
ken	肯
symphony	交响曲
patrick	帕特里克
lee	李
ford	福特
billy	比利
gibson	吉布森
carter	卡特
simpson	辛普森
ted	泰德
francesco	弗朗切斯科
heinz	海因茨
mario	马里奥
james	詹姆斯
friedrich	弗里德里希
claudio	克劳迪奥
jens	延斯
dan	丹
harrison	哈里森
kirk	柯克
benjamin	本杰明
de	德
morgan	摩根
jacques	雅克
heinrich	海因里希
jimmy	吉米
abbas	阿巴斯
cox	考克斯
edgar	埃德加
craig	克雷格
ramos	拉莫斯
drew	德鲁
williamson	威廉森
banks	班克斯
moussa	穆萨
hayden	海登
klein	克莱因
abdullah	阿卜杜拉
hughes	休斯
larry	拉里
eugene	尤金
luca	卢卡
danny	丹尼
carlos	卡洛斯
stan	斯坦
perry	佩里
willis	威利斯
timothy	蒂莫西
natasha	娜塔莎
sidney	西德尼
albrecht	阿尔布雷希特
barbara	芭芭拉
stefan	斯特凡
rachel	瑞秋
damon	戴蒙
václav	瓦茨拉夫
federico	费德里科
butler	巴特勒
samir	萨米尔
irina	伊琳娜
freeman	弗里曼
clara	克拉拉
dietrich	迪特里希
brett	布雷特
kyle	凯尔
pedro	佩德罗
anton	安东
sullivan	沙利文
douglas	道格拉斯
miller	米勒
anna	安娜
lucy	露西
gabriel	加布里埃尔
todd	托德
jan	扬
vicente	比森特
hart	哈特
warren	沃伦
christian	克里斯蒂安
hall	霍尔
françois	弗朗索瓦
fox	福克斯
gordon	戈登
ward	沃德
mikhail	米哈伊尔
ali	阿里
day	戴
irene	艾琳
flores	弗洛雷斯
marduk	马尔杜克
cruz	克鲁斯
dwight	德怀特
lincoln	林肯
eugène	欧仁
edwin	埃德温
francisco	弗朗西斯科
pérez	佩雷斯
donald	唐纳德
clyde	克莱德
lambert	兰伯特
rossi	罗西
charlotte	夏洛特
hicks	希克斯
schumacher	舒马赫
bailey	贝利
mcmahon	麥馬漢
evan	埃文
zdeněk	兹德涅克
desmond	德斯蒙德
coleman	科尔曼
chuck	查克
barnes	巴恩斯
rupert	鲁伯特
wallace	华莱士
kate	凱特
chad	查德
moreno	莫雷诺
blair	布莱尔
chamberlain	张伯伦
miranda	米蘭達
snow	斯诺
diana	戴安娜
moritz	莫里茨
clifford	克利福德
ivo	伊沃
sparks	斯帕克斯
johnson	约翰逊
ronald	罗纳德
van	范
augustin	奥古斯丁
walker	沃克
wood	伍德
erich	埃里希
hussein	侯赛因
leonardo	莱昂纳多
mauro	毛罗
pavel	帕维尔
karel	卡雷尔
bertrand	贝特朗
ann	安
jean	让
pierre	皮埃尔
ismail	伊斯梅尔
milton	米尔顿
bradley	布拉德利
joachim	约阿希姆
milan	米兰
leonard	伦纳德
zoran	佐兰
schmidt	施密特
gray	格雷
hamilton	汉密尔顿
sánchez	桑切斯
herbert	赫伯特
hendrik	亨德里克
étienne	艾蒂安
kahn	卡恩
glenn	格伦
marcos	马科斯
pinto	平托
augusto	奥古斯托
fuller	富勒
winston	温斯顿
fred	弗雷德
armstrong	阿姆斯特朗
steve	史蒂夫
adams	亚当斯
howard	霍华德
pasha	帕夏
hearst	赫斯特
lópez	洛佩斯
ilya	伊利亚
saul	索尔
yves	伊夫
vanessa	凡妮莎
massimo	马西莫
ralph	拉尔夫
sandra	桑德拉
chase	蔡斯
julian	朱利安
bennett	贝内特
fritz	弗里茨
laurent	洛朗
ferreira	費利拿
dick	迪克
bruno	布鲁诺
elizabeth	伊丽莎白
barry	巴里
quinn	奎因
sterling	斯特林
kazimierz	卡齐米日
palmer	帕尔默
reggie	雷吉
manny	曼尼
sepp	塞普
mika	米卡
vince	文斯
deborah	黛博拉
jerzy	耶日
györgy	捷尔吉
marin	馬林
diane	黛安
hal	哈尔
władysław	瓦迪斯瓦夫
hossein	侯賽因
marlon	馬龍
tyson	泰森
renato	雷纳托
charlton	查尔顿
jacobson	雅各布森
willard	威拉德
adnan	阿德南
eva	伊娃
rush	拉什
sheldon	谢尔顿
thatcher	撒切尔
carson	卡森
akbar	阿克巴尔
huxley	赫胥黎
joyce	乔伊斯
haas	哈斯
mackenzie	麦肯齐
lauren	劳伦
hahn	哈恩
baldwin	鲍德温
robbie	罗比
kuhn	库恩
gibb	吉布
enzo	恩佐
zoltán	佐尔坦
raoul	拉乌尔
ptolemy	托勒密
casimir	卡西米尔
kapoor	卡浦爾
ivica	伊维卡
wade	韋德
núñez	努涅斯
florian	弗洛里安
mason	梅森
dirk	德克
bradford	布拉德福德
gaston	加斯东
ruiz	鲁伊斯
abu	阿布
walton	沃尔顿
jiří	伊日
sloan	斯隆
giacomo	贾科莫
peters	彼得斯
axel	阿克塞尔
mann	曼
troy	特洛伊
frisch	弗里施
lynch	林奇
darwin	達爾文
sheikh	谢赫
tucker	塔克
parsons	帕森斯
samuel	塞缪尔
edmund	埃德蒙
enrico	恩里科
strauss	施特劳斯
joseph	约瑟夫
ben	本
abdul	阿卜杜勒
william	威廉
campbell	坎贝尔
rick	里克
ernest	欧内斯特
carlo	卡洛
chapman	查普曼
joão	若昂
taylor	泰勒
hopkins	霍普金斯
alfredo	阿尔弗雷多
curtis	柯蒂斯
le	勒
lev	列夫
werner	维尔纳
thomas	托马斯
amy	艾米
andrés	安德烈斯
alfred	阿尔弗雷德
grégory	格雷戈里
theodore	西奥多
boris	鲍里斯
georg	格奥尔格
parker	帕克
nicole	妮可
gilbert	吉尔伯特
manuel	曼努埃尔
richard	理查德
may	梅
rené	勒内
seymour	西摩
morrison	莫里森
gonçalves	贡萨尔维斯
lily	莉莉
macdonald	麦克唐纳
chester	切斯特
bonaparte	波拿巴
ultraman	奥特曼
aris	阿里斯
jon	乔恩
garcía	加西亚
césar	塞萨尔
leonid	列昂尼德
ibn	伊本
don	唐
ibrahim	易卜拉欣
johannes	约翰内斯
reed	里德
kaufman	考夫曼
karen	凱倫
castillo	卡斯蒂略
cecil	塞西尔
diego	迭戈
jonathan	乔纳森
arthur	阿瑟
tariq	塔里克
stanford	斯坦福
jorge	豪尔赫
lawson	勞森
woods	伍兹
neville	内维尔
patricia	派翠西亞
gibbs	吉布斯
morten	摩頓
pacheco	帕切科
dewey	杜威
maxwell	马克斯韦尔
diarra	迪亚拉
jacqueline	杰奎琳
hyman	海曼
bartolomé	巴托洛梅
tim	蒂姆
watson	沃森
gottfried	戈特弗里德
bob	鲍勃
robert	罗伯特
gottlieb	戈特利布
phillips	菲利普斯
cohen	科恩
rebecca	丽贝卡
dean	迪恩
guillaume	纪尧姆
justin	賈斯汀
anders	安德斯
kurt	库尔特
boone	布恩
gemma	杰玛
bernie	伯尼
phelps	菲尔普斯
cápac	卡帕克
cromwell	克伦威尔
yekaterina	叶卡捷琳娜
stanisław	斯坦尼斯瓦夫
antonín	安东宁
elmer	埃尔默
tito	蒂托
dejan	德扬
valerie	瓦莱丽
stephanie	史蒂芬妮
armando	阿曼多
jörg	约尔格
mohsen	穆赫辛
page	佩奇
sinclair	辛克莱
barrett	巴雷特
hull	赫尔
angelo	安杰洛
alina	阿林娜
menzies	孟席斯
adolfo	阿道弗
macfarlane	麦克法兰
luke	卢克
gerhard	格哈德
figueroa	菲格罗亚
coco	可可
slobodan	斯洛博丹
imre	伊姆雷
clinton	克林顿
rita	丽塔
gabriela	加布里埃拉
grant	格兰特
yupanqui	尤潘基
radomir	拉多米尔
archer	阿彻
adad	阿达德
didier	迪迪埃
calvin	卡尔文
elena	艾蓮娜
élie	埃利
jenna	珍娜
landry	兰德里
meg	梅格
melvin	梅尔文
whitman	惠特曼
buddy	巴迪
filippo	菲利波
massoud	马苏德
palacios	帕拉西奥斯
lindo	林多
jános	亚诺什
salomon	萨洛蒙
max	马克斯
walsh	沃尔什
pellegrini	佩莱格里尼
darko	达科
sawyer	索耶
joanna	乔安娜
inca	印卡
ivanov	伊万诺夫
nur	努尔
kasper	卡斯柏
kane	凯恩
bon	邦
watt	瓦特
kendrick	肯德里克
sven	斯文
art	阿特
hale	黑尔
justus	尤斯图斯
romeo	罗密欧
busch	布施
zimmermann	齐默尔曼
bender	本德
webster	韦伯斯特
sally	莎莉
gould	古尔德
mirko	米尔科
phoebe	菲比
sylvain	西尔万
curie	居里
nancy	南希
dino	迪诺
moreira	莫雷拉
serrano	塞拉諾
cheney	切尼
petra	佩特拉
oksana	奥克萨娜
marcello	马尔切洛
suleiman	苏莱曼
griffin	格里芬
rutherford	卢瑟福
keating	基廷
rossellini	羅塞里尼
hamid	哈米德
knowles	诺尔斯
hepburn	赫本
jordi	佐迪
hayley	海莉
burbidge	伯比奇
kendall	肯德尔
thierry	蒂埃里
heller	海勒
rivera	里维拉
dalton	道尔顿
evelyn	伊夫林
gyllenhaal	吉倫荷
hargreaves	哈格里夫斯
stamitz	斯塔米茨
angulo	安古洛
koch	科赫
martha	瑪莎
reinhard	赖因哈德
monroe	门罗
carlton	卡爾頓
bastian	巴斯蒂安
boyd	博伊德
marek	马雷克
rashid	拉希德
leslie	莱斯利
harald	哈拉尔德
kidd	基德
bard	巴德
pahlavi	巴列維
greenwood	格林伍德
homer	霍默
rudy	鲁迪
cissé	西塞
guzmán	古斯曼
wall	沃尔
geller	蓋勒
farrell	法雷尔
maduro	马杜罗
eli	伊莱
marvin	马文
fabrice	法布里斯
clive	克莱夫
mehdi	迈赫迪
wittgenstein	维特根斯坦
jordan	乔丹
florent	弗洛朗
barton	巴顿
moss	摩絲
bigelow	毕格罗
monica	莫妮卡
mendoza	门多萨
björn	比約恩
davenport	达文波特
timo	蒂莫
judith	朱迪斯
jenkins	詹金斯
vázquez	巴斯克斯
betty	貝蒂
dragan	德拉甘
penn	潘
benedict	本尼迪克特
vaz	瓦斯
magnus	马格努斯
underwood	安德伍德
ilie	伊利耶
valentina	瓦伦蒂娜
achille	阿希尔
epstein	爱泼斯坦
cesare	切萨雷
svensson	史雲遜
clement	克莱门特
mihai	米哈伊
poulsen	波尔森
béla	贝拉
israel	伊斯雷尔
castro	卡斯特罗
benny	班尼
goran	戈兰
speed	斯皮德
brontë	勃朗特
katie	凯蒂
juninho	儒尼尼奥
kwame	夸梅
lyudmila	柳德米拉
jennings	詹宁斯
olivia	奥利维亚
nicky	尼基
sforza	斯福尔扎
harden	哈登
heywood	海伍德
bartlett	巴特利特
simone	西蒙尼
maxim	马克西姆
mills	米尔斯
atkins	阿特金斯
lansana	兰萨纳
artur	阿尔图尔
mel	梅尔
zachary	扎卡里
italo	伊塔洛
fielding	菲尔丁
daniele	達尼埃萊
cyrus	赛勒斯
doyle	道尔
braun	布劳恩
andrews	安德魯斯
bart	巴特
lessing	莱辛
graeme	格雷姆
nolan	诺兰
karin	卡琳
lászló	拉斯洛
preston	普雷斯顿
aristide	阿里斯蒂德
dieter	迪特
tadeusz	塔德乌什
agustín	阿古斯丁
guthrie	格思里
doug	道格
skarsgård	斯卡斯加德
alexis	亚历克西
milorad	米洛拉德
scott	斯科特
hassan	哈桑
michel	米歇尔
francis	弗朗西斯
newman	紐曼
catherine	凯瑟琳
ludwig	路德维希
omar	奥马尔
henry	亨利
alexander	亚历山大
michael	迈克尔
rodney	罗德尼
lorenzo	洛伦佐
green	格林
armand	阿尔芒
rod	罗德
gonzález	冈萨雷斯
ricardo	里卡多
pat	帕特
roy	罗伊
frederick	弗雷德里克
gandhi	甘地
eduardo	爱德华多
lester	莱斯特
fowler	福勒
bohr	玻尔
baba	巴巴
nabu	那布
popov	波波夫
solomon	所羅門
horst	霍斯特
arroyo	阿罗约
tina	蒂娜
plácido	普拉西多
domingo	多明哥
victoria	维多利亚
josé	何塞
felix	费利克斯
roman	罗曼
terry	特里
khalid	哈立德
swift	斯威夫特
dale	戴尔
oleg	奥列格
fabian	法比安
nigel	尼祖
abel	阿贝尔
márcio	馬斯奧
charles	查尔斯
albert	阿尔伯特
sviatoslav	斯维亚托斯拉夫
murphy	墨菲
malcolm	马尔科姆
anne	安妮
sergio	塞尔希奥
gardner	加德纳
burton	伯顿
stanton	斯坦顿
ferenc	费伦茨
rooney	鲁尼
serra	塞拉
kingsley	金斯利
gonzalo	干沙路
herschel	赫歇爾
florence	弗洛伦斯
amir	阿米尔
prince	普林斯
reyes	雷耶斯
knight	奈特
julia	茱莉亞
stanislav	斯坦尼斯拉夫
dias	迪亚士
torres	托雷斯
nuno	努诺
church	丘奇
fisher	費雪
mick	米克
gates	盖茨
duane	杜安
lionel	利昂内尔
luc	吕克
spears	斯皮爾斯
cédric	塞德里克
hoover	胡佛
wise	怀斯
ephron	艾芙隆
gaius	盖乌斯
theo	西奥
bhutto	布托
júnior	祖利亞
oliver	奥利弗
vsevolod	弗谢沃洛德
bruce	布鲁斯
weber	韦伯
martins	馬田斯
adam	亚当
jeremy	杰里米
rice	赖斯
archibald	阿奇博尔德
nikita	尼基塔
roger	罗杰
jerome	杰罗姆
pete	皮特
del	德尔
marcel	馬塞爾
hermann	赫尔曼
bill	比尔
javier	哈维尔
gregory	格里高利
mark	马克
nina	妮娜
franco	佛朗哥
martin	马丁
crawford	克劳福德
aziz	阿齐兹
edwards	爱德华兹
white	怀特
adolf	阿道夫
vittorio	维托里奥
finney	芬尼
rabin	拉宾
gennady	根纳季
niels	尼尔斯
pearson	皮尔逊
yahya	叶海亚
camargo	卡马戈
wolfgang	沃尔夫冈
ribeiro	里贝罗
prescott	普雷斯科特
lyndon	林登
melville	梅尔维尔
sharon	莎朗
ram	拉姆
arsène	阿尔塞纳
higgins	希金斯
perón	裴隆
forbes	福布斯
barber	巴伯
donna	唐娜
brouwer	布劳威尔
ortega	奥尔特加
rojas	罗哈斯
bernoulli	伯努利
sanford	桑福德
banda	班达
sophia	索菲亚
horatio	霍雷肖
boleyn	博林
schultz	舒尔茨
chadwick	查德威克
weinberg	温伯格
ninurta	尼努尔塔
barros	巴路士
patrice	帕特里斯
pizarro	皮萨罗
humphrey	汉弗莱
dorothy	多萝西
júlio	儒利奥
kuznetsov	库兹涅佐夫
moreau	莫罗
hope	霍普
goddard	戈达德
jacobus	雅各布斯
walters	沃尔特斯
nabil	纳比勒
anatoliy	阿纳托利
stark	斯塔克
gore	戈尔
rudolf	鲁道夫
gómez	戈麦斯
fabio	法比奧
guy	居伊
maurice	莫里斯
rahman	拉赫曼
steven	史蒂文
jenny	珍妮
emma	艾瑪
conrad	康拉德
north	诺斯
jefferson	謝佛遜
ramón	拉蒙
christopher	克里斯托弗
andrew	安德鲁
ingrid	英格丽
joaquín	华金
sharp	夏普
bloch	布洛赫
louis	路易
bernhard	伯恩哈德
hilary	希拉里
cameron	卡梅伦
jesse	杰西
alex	亚历克斯
ivan	伊万
alberto	阿尔贝托
rodríguez	罗德里格斯
roosevelt	罗斯福
joel	乔尔
laura	劳拉
ramírez	拉米雷斯
alexandra	亚历山德拉
helen	海倫
gustav	古斯塔夫
da	达
phil	菲尔
pablo	巴勃罗
miguel	米格尔
davis	戴维斯
sotomayor	索托马约尔
malik	马利克
heather	海瑟
kovács	高華斯
lois	洛伊丝
hemingway	海明威
schleck	施莱克
gilberto	吉尔伯托
fanny	范妮
jeff	傑夫
ramsay	拉姆齊
bruni	布鲁尼
lara	拉腊
dorji	多吉
terence	特伦斯
flavio	弗拉维奥
sándor	山多尔
trey	特雷
britta	布丽塔
samsu	萨姆苏
beckham	贝克汉姆
slater	斯莱特
blackburn	布莱克本
anabel	安娜貝爾
bohuslav	博胡斯拉夫
macarthur	麦克阿瑟
wilkes	威尔克斯
adi	阿迪
kenyon	凯尼恩
tasso	塔索
harrington	哈林顿
modibo	莫迪博
palma	帕尔马
slipher	斯里弗
katz	卡茨
irakli	伊拉克利
mussolini	墨索里尼
perestrello	佩雷斯特雷洛
murat	穆拉特
cronin	克罗宁
dempsey	丹普西
ernie	厄尼
cutler	卡特勒
greg	格雷格
pynchon	品钦
peake	皮克
eckersley	埃克斯利
sisavang	西萨旺
kamiński	卡明斯基
devi	黛维
jonas	乔纳斯
milošević	米洛舍维奇
dodd	杜德
benson	本森
reynaldo	雷纳尔多
hawthorne	霍桑
valentin	瓦伦丁
tiepolo	提埃坡羅
zardari	扎尔达里
arnett	阿奈特
yakin	雅金
povlsen	保臣
ivanovich	伊万诺维奇
mello	梅洛
sax	萨克斯
kieran	基蘭
saleh	萨利赫
gallagher	蓋勒格
leif	萊夫
emilio	埃米利奥
spitzer	斯皮策
vance	万斯
frazier	弗雷澤
atta	阿塔
redknapp	雷德克纳普
jeannet	让内
calderón	卡尔德隆
lou	卢
gunnar	贡纳尔
cabral	卡布拉爾
gasol	加索尔
lana	拉娜
potocki	波托茨基
trujillo	特鲁希略
enoch	以諾
renzo	伦佐
netanyahu	内塔尼亚胡
casiraghi	卡西拉奇
bauer	鮑爾
iker	伊克尔
cattell	卡特尔
emmons	埃蒙斯
edson	艾迪臣
yitzhak	伊扎克
mcgee	麦吉
petri	佩特里
alison	艾莉森
ignaz	伊格纳兹
materazzi	马特拉齐
bainbridge	班布里奇
rhys	里斯
medina	梅迪纳
kissinger	基辛格
sabin	沙賓
kadyrov	卡德罗夫
monique	莫妮克
wilmot	威尔莫特
indiana	印第安纳
alec	亚历克
santana	桑塔那
ismailov	伊斯梅洛夫
alarcón	阿拉尔孔
mcilroy	麥克羅伊
sylvester	西爾維斯特
branch	布兰奇
berry	贝里
balliol	巴里奥
bay	貝
elihu	伊莱休
pasteur	巴斯德
bertil	贝蒂尔
ekaterina	葉卡捷琳娜
romero	罗梅罗
hawke	霍克
talbot	塔波特
dworkin	德沃金
cuvier	居維葉
quincy	昆西
eve	夏娃
liebknecht	李卜克内西
sandro	桑德罗
marx	马克思
ashraf	阿什拉夫
rubens	魯本斯
simão	西芒
hoyte	賀迪
cage	凯奇
cagnotto	卡尼奥托
graham	格雷厄姆
glass	格拉斯
philips	飞利浦
eddington	爱丁顿
chandragupta	旃陀罗
adaílton	艾達頓
clarence	克拉倫斯
hibbert	希伯特
renata	雷纳塔
sharman	沙曼
charpentier	夏庞蒂埃
ulysses	尤利西斯
emiliano	埃米利亚诺
sherwood	舍伍德
jared	贾里德
robertson	罗伯逊
travis	特拉维斯
mcgregor	麦格雷戈
sargsyan	萨尔基相
gottlob	戈特洛布
hatcher	海契
jung	荣格
alba	艾巴
gilpin	吉尔平
burroughs	巴勒斯
grumman	格鲁门
fabiano	法比亚诺
zurab	蘇拉比
gabrieli	加布里埃利
blue	布魯
dumitru	杜米特鲁
bridge	布里奇
abbey	艾比
zeri	泽瑞
atkinson	阿特金森
vasconcelos	瓦斯康塞洛斯
kovač	科瓦奇
rochus	羅庫斯
reis	雷斯
cassidy	卡西迪
cate	凯特
istomin	伊斯托明
rodriguez	罗德里格兹
okello	奥凯洛
gareth	加雷斯
kolbe	科尔贝
aalto	阿尔托
svetozar	斯韦托扎尔
emerson	爱默生
arne	阿尔内
mariano	馬里亞諾
radoslav	拉多斯拉夫
jarrah	賈拉
eisner	埃斯纳
carney	卡尼
everett	埃弗里特
tristão	特里斯唐
dmitry	德米特里
dickson	迪克森
ambani	安巴尼
tuckerman	塔克曼
nadezhda	娜杰日达
hess	赫斯
josimar	祖斯馬
llorente	路蘭迪
alois	阿洛伊斯
fareed	法里德
laudrup	劳德鲁普
pentti	彭蒂
zorn	佐恩
camilo	卡米洛
abramson	艾布拉姆森
kabila	卡比拉
alpha	阿尔法
faris	法里斯
carlson	卡尔森
burnett	伯内特
costa	科斯塔
marius	马里乌斯
stern	斯特恩
polgar	波尔加
gillian	吉莉安
hendra	亨德拉
burnouf	布尔奴夫
lleras	耶拉斯
darth	達斯
nadia	娜迪亚
dutta	杜塔
boulanger	布朗热
moura	莫拉
mayo	梅奥
hewitt	休伊特
killen	基伦
bellamy	贝拉米
bonner	邦納
elton	埃尔顿
jonah	喬納
hawkins	霍金斯
milner	米尔纳
louisa	路易莎
villanueva	维拉纽瓦
crespo	克雷斯波
odd	奥德
paisley	佩斯利
heike	海克
jérôme	热罗姆
howe	豪
manfred	曼弗雷德
loren	洛伦
alvarado	阿尔瓦拉多
karamanlis	卡拉曼利斯
zé	泽
ballard	巴拉德
keaton	基頓
andreea	安德烈娅
müller	穆勒
zweig	茨威格
araújo	阿劳约
lucía	露西娅
mcqueen	麥昆
y	伊
crocker	克罗克
anita	安妮塔
dileita	迪莱塔
osment	奧斯蒙
reina	雷纳
marian	马里安
haider	海德尔
modigliani	莫迪利亚尼
salvador	萨尔瓦多
angel	安潔兒
virginia	弗吉尼亚
estrada	埃斯特拉达
emre	埃姆雷
weller	韦勒
kalou	卡卢
ephraim	伊弗雷姆
bassett	巴塞特
hamelin	哈梅林
dampier	丹皮尔
gosling	高斯林
meredith	梅雷迪思
birgit	比吉特
erwin	埃尔温
zlatan	兹拉坦
koman	科曼
janez	亚内兹
skye	斯凱
niklas	尼克拉斯
horace	霍勒斯
greeley	格里利
mauricio	毛里西奥
gary	加里
silveira	西尔维拉
carlyle	卡萊爾
numa	努马
latham	莱瑟姆
nguyen	阮
asamoah	阿萨莫阿
hamm	哈姆
imogen	伊莫金
boban	博班
payne	佩恩
thorpe	索普
amaury	阿莫里
skinner	斯金纳
mia	米娅
boutros	布特羅斯
fitch	菲奇
konan	科南
chivu	基伏
ariel	阿里埃勒
kleiber	克莱伯
nino	妮诺
karimi	卡里米
zvonimir	兹沃尼米尔
vlad	弗拉德
todorov	托多洛夫
andranik	安德拉尼克
matti	马蒂
lorenz	洛伦兹
nguema	恩圭马
istván	伊斯特万
branko	布兰科
rodas	罗达斯
carlisle	卡莱尔
clifton	克里夫顿
girard	吉拉德
díaz	迪亚斯
fry	弗莱
sykes	赛克斯
åke	奥克
dickinson	迪金森
milutinović	米卢蒂诺维奇
chang	張
morente	莫倫特
valente	華倫迪
petras	彼特拉斯
mcdonald	麥當勞
patti	帕蒂
raj	拉杰
edita	艾迪塔
butt	布特
sammy	萨米
gloria	格洛丽亚
macapagal	马卡帕加尔
sonia	索尼娅
browning	勃朗宁
rota	羅塔
norbert	諾伯特
younis	尤尼斯
gnassingbé	纳辛贝
atiba	艾迪巴
bass	巴斯
brentano	布伦塔诺
gamble	甘布尔
suhas	苏哈斯
usman	乌斯曼
torsten	托尔斯滕
corina	科麗娜
holt	霍尔特
du	杜
nenad	内纳德
fonda	芳達
melissa	梅丽莎
friedel	弗里德尔
seyni	赛义尼
oumarou	奥马鲁
jelić	耶利奇
baggins	巴金斯
levy	利维
hickenlooper	希肯盧珀
ole	奥勒
byrne	拜恩
soriano	索利安諾
fink	芬克
stojković	斯托伊科维奇
bolat	博拉特
asa	阿薩
amadou	阿马杜
kumar	库马尔
livingstone	利文斯通
ezequiel	埃兹奎尔
robson	罗布森
teemu	泰穆
defoe	笛福
bayer	拜尔
nathan	内森
huber	胡伯
rutledge	拉特利奇
fleming	弗莱明
abbott	阿博特
mba	姆巴
hernán	埃尔南
peña	佩尼亚
fuchs	富克斯
popp	波普
rousseau	盧梭
garrido	加列度
conca	孔卡
diop	迪奥普
ochoa	奥乔亚
fish	菲什
kirilenko	基里连科
townsend	汤森
göring	戈林
inzaghi	因扎吉
raimundo	雷蒙多
mill	密尔
schmitt	施米特
dawkins	道金斯
cahill	卡希尔
janusz	雅努什
simeon	西美昂
maggie	瑪姬
dunn	鄧恩
monti	蒙蒂
brisson	布里松
evarts	埃瓦茨
brady	布雷迪
jeremiah	杰里迈亚
welsh	威爾許
buñuel	布努埃尔
per	佩尔
brook	布鲁克
gingrich	金里奇
alicia	艾丽西亚
god	上帝
velasco	贝拉斯科
andris	安德里斯
jørgensen	约根森
minghella	明格拉
haji	哈吉
salman	薩爾曼
thurmond	瑟蒙德
elric	艾力克
coelho	科埃略
raskin	拉斯金
mandelstam	曼德尔施塔姆
passos	帕索斯
sampson	桑普森
sammallahti	萨马拉赫蒂
york	约克
paavo	帕沃
nikolaus	尼古劳斯
biden	拜登
melo	美羅
stephenson	斯蒂芬森
faraday	法拉第
cory	科利
karami	卡拉米
murdoch	默多克
prudhomme	普吕多姆
diab	迪亚布
amr	阿穆尔
neves	尼維斯
hakan	哈坎
rubinstein	鲁宾斯坦
lualua	卢阿卢阿
guenot	盖诺
schiller	席勒
rabbani	拉巴尼
farah	法拉赫
redfield	雷德費爾
mayne	梅恩
lucien	吕西安
bette	贝蒂
karlheinz	卡尔海因茨
bertram	伯特伦
sanger	桑格
bergkamp	博格坎普
solis	索利斯
bravo	巴禾
gross	格罗斯
justo	胡斯托
france	弗朗斯
anand	阿南德
aidan	艾丹
horn	霍恩
buster	巴斯特
posey	波西
yeboah	耶保亞
mstislavich	姆斯季斯拉维奇
merikanto	梅利康托
böhm	貝姆
lippmann	李普曼
shearer	希勒
andrija	安德里亚
romer	罗默
shelley	雪莱
arns	阿恩斯
maldini	马尔蒂尼
tinbergen	廷贝亨
flavia	弗拉维娅
coolidge	柯立芝
mcbride	麦克布莱德
sørensen	蘇連遜
ferrari	费拉里
halldór	哈尔多尔
mladen	姆拉登
ashmore	阿什莫
nichols	尼科尔斯
ramadan	拉马丹
hudson	哈德森
rasmus	拉斯姆斯
taha	塔哈
bentley	本特利
grosjean	格罗斯让
cartan	嘉当
hancock	汉考克
brooke	布魯克
čech	切赫
konstantinovich	康斯坦丁诺维奇
rader	雷德
camara	卡马拉
dibiasi	迪比亚西
karpov	卡爾波夫
aimé	艾梅
schwartz	施瓦茨
roderick	罗德里克
jacquet	雅凯
ettore	埃托雷
rasul	拉苏尔
ceulemans	瑟勒芒斯
christos	赫里斯托斯
marriner	马里纳
dakota	达科塔
stoddard	斯托达德
wesley	韦斯利
mumford	芒福德
lena	蓮娜
josip	约瑟普
